nau2 jeok3,New York
bo1 si6 deon2,Boston
bak1 ging1,Beijing
seong6 hoi2,Shanghai
gwong2 zau1,Gwangzhou
zi1 gaa1 go1,Chicago
saam1 faān3 si,San Francisco
lok3 caam1 gei1,Los Angeles
maai6 aa3 mat6,Miami
sau2 ji5,Seoul
fu2 saan1,Busan
zai3 zau1 dou2,Jeju Island
dung1 ging1,Tokyo
ging1 dou1,Kyoto (Capital)
